camera_id,timestamp,total_vehicles,vehicles_per_mpx,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,cluster,cluster_label
2701,2025-10-15 05:23:00,8,0.0445,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:28:00,14,0.0789,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:33:00,13,0.1015,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:38:00,15,0.0452,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:43:00,21,0.0855,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:48:00,9,0.0256,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:53:00,11,0.0539,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 05:58:00,22,0.0934,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 06:04:00,25,0.1467,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 06:08:00,20,0.1393,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 06:13:00,28,0.211,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:18:00,20,0.1538,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 06:23:00,26,0.1067,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,Moderate
2701,2025-10-15 06:28:00,33,0.1995,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:33:00,45,0.2746,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:38:00,46,0.2216,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:44:00,36,0.2338,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:48:00,33,0.2793,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:53:00,30,0.2403,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 06:58:00,42,0.3051,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:04:00,44,0.3297,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:09:00,51,0.2929,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:13:00,44,0.2923,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:18:00,49,0.4116,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:23:00,46,0.2548,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:28:00,46,0.3321,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:33:00,43,0.2702,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:38:00,48,0.2959,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:44:00,31,0.2619,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:48:00,46,0.241,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 07:53:00,43,0.2482,7,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 21:39:00,18,0.1183,21,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 21:44:00,12,0.0264,21,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 21:49:00,18,0.0702,21,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 21:53:00,14,0.0627,21,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 21:58:00,47,0.17,21,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:03:00,34,0.175,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:08:00,46,0.1547,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:14:00,38,0.1796,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:18:00,46,0.2089,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:23:00,46,0.194,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:28:00,44,0.1668,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:33:00,50,0.1985,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:38:00,45,0.1849,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:43:00,54,0.1778,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:48:00,46,0.1726,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:54:00,47,0.1404,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 22:58:00,52,0.1732,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 23:03:00,55,0.1687,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 23:09:00,60,0.2015,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 23:14:00,49,0.1669,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 23:18:00,48,0.1779,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 23:23:00,30,0.126,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,Severe
2701,2025-10-15 23:29:00,6,0.0243,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 23:33:00,5,0.0183,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 23:39:00,10,0.0552,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 23:43:00,5,0.0129,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 23:49:00,5,0.0138,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,3,Light
2701,2025-10-15 23:54:00,0,0.0,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,3,Light
